epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.2495,2.89919,0.05,0.3625,2.84883,8.568e-05,8.568e-05,8.568e-05
2,122.348,2.7975,0.1625,0.6375,2.6699,0.000172633,0.000172633,0.000172633
3,172.833,2.59287,0.3375,0.8125,2.41529,0.000256004,0.000256004,0.000256004
4,228.197,2.36438,0.4125,0.925,2.13831,0.000335794,0.000335794,0.000335794
5,276.73,2.10784,0.4875,0.95,1.85913,0.000412003,0.000412003,0.000412003
6,322.514,1.86899,0.5,0.9625,1.54801,0.000428876,0.000428876,0.000428876
7,366.506,1.61617,0.5625,0.9875,1.38346,0.000419451,0.000419451,0.000419451
8,410.392,1.39035,0.5875,0.9875,1.25838,0.000410026,0.000410026,0.000410026
9,456.691,1.27522,0.6125,0.9875,1.18637,0.000400602,0.000400602,0.000400602
10,502.779,1.12416,0.625,1,1.09923,0.000391177,0.000391177,0.000391177
11,549.634,1.07528,0.575,1,1.01844,0.000381752,0.000381752,0.000381752
12,596.062,0.94118,0.6375,1,0.96195,0.000372327,0.000372327,0.000372327
13,646.175,0.91122,0.625,1,0.92561,0.000362902,0.000362902,0.000362902
14,690.826,0.89593,0.6875,1,0.87322,0.000353478,0.000353478,0.000353478
15,732.005,0.85517,0.7,1,0.76334,0.000344053,0.000344053,0.000344053
16,779.21,0.80212,0.675,1,0.76149,0.000334628,0.000334628,0.000334628
17,826.633,0.78487,0.7125,1,0.79546,0.000325203,0.000325203,0.000325203
18,884.606,0.68979,0.7375,1,0.71858,0.000315778,0.000315778,0.000315778
19,926.109,0.69591,0.75,1,0.71943,0.000306354,0.000306354,0.000306354
20,964.366,0.62888,0.775,1,0.63722,0.000296929,0.000296929,0.000296929
21,1005.69,0.65775,0.775,1,0.66585,0.000287504,0.000287504,0.000287504
22,1052.45,0.69562,0.75,1,0.6237,0.000278079,0.000278079,0.000278079
23,1098.69,0.60611,0.725,1,0.67271,0.000268654,0.000268654,0.000268654
24,1143.01,0.60349,0.7625,1,0.70001,0.00025923,0.00025923,0.00025923
25,1185.56,0.58912,0.7625,0.9875,0.61698,0.000249805,0.000249805,0.000249805
26,1229.92,0.57894,0.8,1,0.62396,0.00024038,0.00024038,0.00024038
27,1274.81,0.59096,0.7875,1,0.59027,0.000230955,0.000230955,0.000230955
28,1320.8,0.51081,0.8,1,0.55912,0.00022153,0.00022153,0.00022153
29,1364.37,0.53077,0.8125,1,0.57062,0.000212106,0.000212106,0.000212106
30,1407.52,0.49459,0.8125,1,0.57027,0.000202681,0.000202681,0.000202681
31,1449.9,0.49066,0.7875,1,0.56165,0.000193256,0.000193256,0.000193256
32,1494.09,0.51548,0.775,1,0.60184,0.000183831,0.000183831,0.000183831
